n,xi_hz,sigma_hz,j,support,region
0,55.72875116191944,2.898014055701305,0,24,constant-Q
1,51.103490138227144,2.6574906063420642,0,26,constant-Q
2,46.862107078624334,2.436929630794106,0,28,constant-Q
3,42.97274166418876,2.234674324443462,0,30,constant-Q
4,39.406177853650924,2.0492053907603216,0,33,constant-Q
5,36.13562441904027,1.8791296286840231,0,35,constant-Q
6,33.13651369598537,1.7231694672089417,0,39,constant-Q
7,30.386317036925547,1.5801533685574387,0,42,constant-Q
8,27.86437558095971,1.4490070278506522,0,45,constant-Q
9,25.55174506911356,1.3287453031710317,0,49,constant-Q
10,23.431053539312156,1.2184648153970528,1,54,constant-Q
11,21.48637083209437,1.1173371622217307,1,58,constant-Q
12,19.70308892682545,1.0246026953801608,1,63,constant-Q
13,18.067812209520124,0.9395648143420116,1,69,constant-Q
14,16.56825684799268,0.8615847336044709,1,75,constant-Q
15,15.193158518462768,0.7900766842787194,1,82,constant-Q
16,13.932187790479851,0.7245035139253261,1,89,constant-Q
17,12.775872534556779,0.6643726515855158,1,97,constant-Q
18,11.715526769656076,0.6092324076985264,2,105,constant-Q
19,10.743185416047183,0.5586685811108654,2,115,constant-Q
20,9.851544463412724,0.5123013476900804,2,125,constant-Q
21,9.03390610476006,0.4697824071710058,2,136,constant-Q
22,8.284128423996338,0.4307923668022354,2,148,constant-Q
23,7.596579259231382,0.3950383421393597,2,161,constant-Q
24,6.966093895239924,0.36225175696266304,2,176,constant-Q
25,6.387936267278388,0.3321863257927579,2,192,constant-Q
26,5.857763384828036,0.3046162038492632,3,209,constant-Q
27,5.37159270802359,0.2793342905554327,3,227,constant-Q
28,4.925772231706361,0.2561506738450402,3,248,constant-Q
29,4.516953052380029,0.2348912035855029,3,270,constant-Q
30,4.142064211998168,0.2153961834011177,3,294,constant-Q
31,3.624306185498397,0.2,3,317,constant-bandwidth
32,3.106548158998626,0.2,3,317,constant-bandwidth
33,2.588790132498855,0.2,4,317,constant-bandwidth
34,2.071032105999084,0.2,4,317,constant-bandwidth
35,1.553274079499313,0.2,4,317,constant-bandwidth
36,1.035516052999542,0.2,4,317,constant-bandwidth
37,0.517758026499771,0.2,5,317,constant-bandwidth
