model,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_sensitivity,macro_specificity,sens_ARR,spec_ARR,prec_ARR,f1_ARR,support_ARR,sens_CHF,spec_CHF,prec_CHF,f1_CHF,support_CHF,sens_NSR,spec_NSR,prec_NSR,f1_NSR,support_NSR,cm,patient_accuracy,patient_balanced_accuracy,patient_macro_f1,patient_macro_sensitivity,patient_macro_specificity,patient_cm,n_windows,arm,classifier,seed
vmd/Original VQC/seed0,0.6777777777777778,0.6934722222222223,0.6542466147474184,0.6855981557720399,0.6934722222222223,0.8345839345839345,0.6520833333333333,0.8121212121212121,0.8346666666666667,0.7321637426900586,960,0.7033333333333334,0.8424242424242424,0.5035799522673031,0.5869262865090403,300,0.725,0.8492063492063492,0.5787139689578714,0.6436498150431565,360,"626,178,156;55,211,34;69,30,261",0.8125,0.8139479905437352,0.7910544511668106,0.8139479905437352,0.9016968694388049,"38,4,5;2,12,1;2,1,15",1620,vmd,Original VQC,0
vmd/Original VQC/seed1,0.674074074074074,0.6642824074074074,0.6386724174583999,0.6806196443242751,0.6642824074074074,0.8257335257335258,0.6822916666666666,0.7681818181818182,0.8106435643564357,0.7409502262443439,960,0.58,0.8606060606060606,0.4860335195530726,0.5288753799392097,300,0.7305555555555555,0.8484126984126984,0.579295154185022,0.6461916461916462,360,"655,152,153;88,174,38;65,32,263",0.7625,0.7630417651694247,0.738595048871837,0.7630417651694247,0.8662656340075695,"35,6,6;6,9,0;1,0,17",1620,vmd,Original VQC,1
vmd/Original VQC/seed2,0.6876543209876543,0.6778472222222223,0.6538814940748868,0.6932421642961157,0.6778472222222223,0.8316859066859067,0.696875,0.7712121212121212,0.8158536585365853,0.7516853932584269,960,0.6033333333333334,0.8825757575757576,0.5386904761904762,0.5691823899371069,300,0.7333333333333333,0.8412698412698413,0.5689655172413793,0.6407766990291263,360,"669,125,166;85,181,34;66,30,264",0.825,0.8173364854215918,0.8077816492450639,0.8173364854215918,0.9016041306363887,"39,1,7;4,11,0;1,1,16",1620,vmd,Original VQC,2
vmd/Nested compact VQC/seed0,0.6574074074074074,0.677037037037037,0.6343645249037303,0.6663994762247732,0.677037037037037,0.8267676767676768,0.625,0.8166666666666667,0.8321775312066574,0.7138607971445567,960,0.6866666666666666,0.8303030303030303,0.4790697674418605,0.5643835616438355,300,0.7194444444444444,0.8333333333333334,0.5522388059701493,0.6248492159227985,360,"600,182,178;62,206,32;59,42,259",0.775,0.8003940110323088,0.7593992248062015,0.8003940110323088,0.8858159761385568,"34,6,7;3,11,1;1,0,17",1620,vmd,Nested compact VQC,0
vmd/Nested compact VQC/seed1,0.7092592592592593,0.723125,0.684121427507395,0.716818350558854,0.723125,0.8538961038961039,0.684375,0.8515151515151516,0.8701986754966887,0.7661807580174926,960,0.71,0.8696969696969697,0.5532467532467532,0.6218978102189782,300,0.775,0.8404761904761905,0.58125,0.6642857142857143,360,"657,137,166;52,213,35;46,35,279",0.7875,0.7960598896769109,0.7663894627187174,0.7960598896769109,0.8909441812667619,"36,5,6;2,11,2;2,0,16",1620,vmd,Nested compact VQC,1
vmd/Nested compact VQC/seed2,0.671604938271605,0.6879166666666667,0.6470658583626453,0.6803002399898874,0.6879166666666667,0.8338864838864839,0.64375,0.8242424242424242,0.8419618528610354,0.7296340023612752,960,0.6866666666666666,0.8409090909090909,0.4951923076923077,0.5754189944134077,300,0.7333333333333333,0.8365079365079365,0.5617021276595745,0.636144578313253,360,"618,176,166;54,206,40;62,34,264",0.7625,0.8084318360914106,0.7558881215697263,0.8084318360914106,0.8806877710103517,"32,7,8;3,12,0;1,0,17",1620,vmd,Nested compact VQC,2
vmd/Weighted KNN (1/d)/seed0,0.7438271604938271,0.6973611111111112,0.7007536452600757,0.7427580257001042,0.6973611111111112,0.8452140452140452,0.8104166666666667,0.7106060606060606,0.8028895768833849,0.8066355624675998,960,0.5733333333333334,0.9409090909090909,0.688,0.6254545454545454,300,0.7083333333333334,0.8841269841269841,0.6359102244389028,0.6701708278580816,360,"778,70,112;94,172,34;97,8,255",0.7875,0.7049645390070922,0.7415012381764301,0.7049645390070922,0.8519061583577713,"43,0,4;6,8,1;6,0,12",1620,vmd,Weighted KNN (1/d),0
wst/Original VQC/seed0,0.6462962962962963,0.6549999999999999,0.6186315851768281,0.6539519770063129,0.6549999999999999,0.816041366041366,0.625,0.7803030303030303,0.8053691275167785,0.7038123167155425,960,0.59,0.8424242424242424,0.4597402597402597,0.5167883211678832,300,0.75,0.8253968253968254,0.5510204081632653,0.6352941176470588,360,"600,179,181;84,177,39;61,29,270",0.8,0.8145784081954295,0.787012987012987,0.8145784081954295,0.8913477203799784,"36,4,7;4,11,0;1,0,17",1620,wst,Original VQC,0
wst/Original VQC/seed1,0.6395061728395062,0.6486805555555556,0.6126940323380189,0.6475214744764859,0.6486805555555556,0.8116642616642616,0.6177083333333333,0.7696969696969697,0.7959731543624161,0.6956011730205277,960,0.5866666666666667,0.8287878787878787,0.43781094527363185,0.5014245014245015,300,0.7416666666666667,0.8365079365079365,0.5644820295983086,0.6410564225690276,360,"593,199,168;86,176,38;66,27,267",0.75,0.7596532702915683,0.7290323334267826,0.7596532702915683,0.8658620948943531,"34,7,6;4,10,1;2,0,16",1620,wst,Original VQC,1
wst/Original VQC/seed2,0.6580246913580247,0.6603935185185185,0.6263434817335914,0.6620728063895771,0.6603935185185185,0.8183140933140933,0.640625,0.7666666666666667,0.7997399219765929,0.7113938692886062,960,0.5266666666666666,0.8795454545454545,0.49842271293375395,0.5121555915721231,300,0.8138888888888889,0.8087301587301587,0.548689138576779,0.6554809843400446,360,"615,144,201;102,158,40;52,15,293",0.8,0.7957446808510639,0.7721030530019295,0.7957446808510639,0.8910995814221621,"37,3,7;5,9,1;0,0,18",1620,wst,Original VQC,2
wst/Nested compact VQC/seed0,0.6475308641975308,0.6521296296296296,0.6174770256335208,0.653461025772057,0.6521296296296296,0.8139971139971139,0.6291666666666667,0.7651515151515151,0.7957839262187089,0.7027341477603258,960,0.5466666666666666,0.853030303030303,0.4581005586592179,0.4984802431610942,300,0.7805555555555556,0.8238095238095238,0.558648111332008,0.6512166859791425,360,"604,174,182;96,164,40;59,20,281",0.75,0.7559495665878645,0.72692286546814,0.7559495665878645,0.869594205078076,"34,3,10;4,9,2;1,0,17",1620,wst,Nested compact VQC,0
wst/Nested compact VQC/seed1,0.6290123456790123,0.6330787037037037,0.5994106636635679,0.6358096404657616,0.6330787037037037,0.803042328042328,0.6114583333333333,0.7439393939393939,0.7764550264550265,0.6841491841491842,960,0.5266666666666666,0.831060606060606,0.4146981627296588,0.4640234948604992,300,0.7611111111111111,0.8341269841269842,0.567287784679089,0.6500593119810201,360,"587,197,176;109,158,33;60,26,274",0.775,0.7664302600472813,0.7414577931431864,0.7664302600472813,0.8756222272351305,"36,3,8;6,8,1;0,0,18",1620,wst,Nested compact VQC,1
wst/Nested compact VQC/seed2,0.6148148148148148,0.6235416666666667,0.5863708114849003,0.6231747271147201,0.6235416666666667,0.7995670995670995,0.590625,0.759090909090909,0.78099173553719,0.6725978647686832,960,0.53,0.8181818181818182,0.39849624060150374,0.45493562231759654,300,0.75,0.8214285714285714,0.5454545454545454,0.631578947368421,360,"567,205,188;104,159,37;55,35,270",0.75,0.7408195429472025,0.7172789064174833,0.7408195429472025,0.8603930120059152,"35,4,8;6,8,1;1,0,17",1620,wst,Nested compact VQC,2
wst/Weighted KNN (1/d)/seed0,0.7086419753086419,0.644537037037037,0.6493870471275277,0.7025558363515946,0.644537037037037,0.8184223184223184,0.7958333333333333,0.6363636363636364,0.7609561752988048,0.7780040733197557,960,0.4266666666666667,0.9363636363636364,0.6037735849056604,0.5,300,0.7111111111111111,0.8825396825396825,0.6336633663366337,0.6701570680628273,360,"764,73,123;147,128,25;93,11,256",0.825,0.7605200945626477,0.7888209949079514,0.7605200945626477,0.8774845226458129,"43,0,4;7,8,0;3,0,15",1620,wst,Weighted KNN (1/d),0
