epoch,steps,lr,loss,gradient_norm,seconds,val_accuracy,val_macro_f1,trial,phase,arm,outer_fold,inner_fold,seed,candidate
1,27,0.02,0.9926114810694604,0.2429334389069521,1.6324637139987317,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
2,54,0.0199928845750457,0.7997704421798333,0.2861527827505164,3.1741587329997856,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
3,81,0.0199715495511322,0.7040727207267777,0.3058740244861813,4.870385188998625,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
4,108,0.0199360286633177,0.6552333889401077,0.3407845413303793,6.443072493999352,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
5,135,0.019886378077427,0.6318557368128566,0.3685329428818061,8.201371790999474,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
6,162,0.0198226763012417,0.622551536604447,0.3947658791986548,9.807834848999846,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
7,189,0.0197450240603636,0.6047186727708653,0.3819217734368617,11.424582509000174,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
8,216,0.0196535441389467,0.5989417606957415,0.3936372518494696,13.147434749998864,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
9,243,0.01954838118555,0.592658385926729,0.4127024263409067,14.685873881999214,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
10,270,0.0194297014844185,0.5812171930625971,0.4701735376067442,16.294820293000157,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
11,297,0.0192976926925538,0.5817603726942111,0.4895117424868775,18.089611514000357,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
12,324,0.0191525635429897,0.5715492500844971,0.4609336397888393,19.723080875999585,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
13,351,0.0189945435147421,0.5655852643033525,0.4151690460380997,21.440949824998825,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
14,378,0.0188238824699562,0.5533691306308467,0.4226545560868254,22.96223900899895,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
15,405,0.0186408502588222,0.5484751299283773,0.429261610731534,24.567288023999936,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
16,432,0.0184457362928875,0.5425242958122359,0.4696603835762203,26.24937431499893,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
17,459,0.0182388490874368,0.5429993613231376,0.4630681937062355,27.839719993999097,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
18,486,0.0180205157736669,0.534744173846923,0.4673724704094646,29.410652783999467,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
19,513,0.017791081581424,0.5467032266182256,0.4793945708585284,31.09684437099895,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
20,540,0.0175509092933254,0.5246264028610975,0.4423267753977355,32.605363085000135,0.615909090909091,0.5832699455119462,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
21,567,0.0173003786711248,0.5233374550370504,0.4461610564726355,34.38518249399931,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
22,594,0.0170398858552313,0.5279979269207554,0.4742085744752225,35.961591236999084,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
23,621,0.0167698427383299,0.5272668607664198,0.4712108969493427,37.54878917600036,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
24,648,0.0164906763140947,0.5201175118095727,0.4970218576763617,39.30955807099963,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
25,675,0.0162028280020236,0.5167145760436005,0.4945167102397717,40.82639066400043,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
26,702,0.015906752949464,0.5136490446827561,0.5271433155273975,42.41650467799991,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
27,729,0.0156029193119308,0.5130849994117911,0.462541476720151,44.114164470000105,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
28,756,0.0152918075128565,0.5179580552773905,0.4942531193137172,45.73179421900022,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
29,783,0.0149739094839432,0.5111260687087492,0.489866219888434,47.51175766199958,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
30,810,0.0146497278873169,0.5040940061173738,0.4807544886810403,49.00093969899899,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
31,837,0.014319775320716,0.5054242941980043,0.5201684519676559,50.50301549899996,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
32,864,0.0139845735069686,0.5033773251895737,0.4959660160143551,52.123168281999824,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
33,891,0.0136446524690412,0.5099297458147822,0.5260725519437847,53.7614796529997,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
34,918,0.0133005496919642,0.5022096836931687,0.4810582869287574,55.35792175200004,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
35,945,0.0129528092729568,0.4962458963997233,0.4619628930694415,57.10769239500041,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
