model,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_sensitivity,macro_specificity,sens_ARR,spec_ARR,prec_ARR,f1_ARR,support_ARR,sens_CHF,spec_CHF,prec_CHF,f1_CHF,support_CHF,sens_NSR,spec_NSR,prec_NSR,f1_NSR,support_NSR,cm,patient_accuracy,patient_balanced_accuracy,patient_macro_f1,patient_macro_sensitivity,patient_macro_specificity,patient_cm,n_windows,fold
vmd_knn,0.7382352941176471,0.7241666666666666,0.7141320901320901,0.73967695050048,0.7241666666666666,0.8462454212454212,0.76,0.7285714285714285,0.8,0.7794871794871796,200,0.7,0.9178571428571428,0.6461538461538462,0.6719999999999999,60,0.7125,0.8923076923076924,0.6705882352941176,0.6909090909090909,80,"152,21,27;17,42,1;21,2,57",0.8125,0.7685185185185185,0.7973684210526315,0.7685185185185185,0.876984126984127,"8,0,1;1,2,0;1,0,3",340,0
vmd_knn,0.85,0.8212962962962962,0.8275931385687483,0.8485451286518361,0.8212962962962962,0.9105921855921856,0.8888888888888888,0.8285714285714286,0.8695652173913043,0.8791208791208792,180,0.7,0.9615384615384616,0.8076923076923077,0.75,60,0.875,0.9416666666666667,0.8333333333333334,0.8536585365853658,80,"160,10,10;14,42,4;10,0,70",0.9375,0.8888888888888888,0.9157894736842106,0.8888888888888888,0.9523809523809524,"9,0,0;1,2,0;0,0,4",320,1
vmd_knn,0.76875,0.7172222222222221,0.7164762299449411,0.7692459495194679,0.7172222222222221,0.8572649572649572,0.835,0.7333333333333333,0.8391959798994975,0.8370927318295739,200,0.6333333333333333,0.9384615384615385,0.7037037037037037,0.6666666666666667,60,0.6833333333333333,0.9,0.6119402985074627,0.6456692913385826,60,"167,12,21;17,38,5;15,4,41",0.8125,0.7444444444444445,0.7746031746031745,0.7444444444444445,0.8632478632478632,"9,0,1;1,2,0;1,0,2",320,2
vmd_knn,0.675,0.6055555555555555,0.625520375256523,0.6701489665787158,0.6055555555555555,0.8018467643467644,0.8,0.6071428571428571,0.7236180904522613,0.7598944591029024,180,0.4666666666666667,0.9692307692307692,0.7777777777777778,0.5833333333333334,60,0.55,0.8291666666666667,0.5176470588235295,0.5333333333333333,80,"144,6,30;21,28,11;34,2,44",0.625,0.4907407407407407,0.5202020202020202,0.4907407407407407,0.7341269841269841,"8,0,1;2,1,0;3,0,1",320,3
vmd_knn,0.6875,0.6194444444444445,0.6074422011596451,0.6833109232908394,0.6194444444444445,0.8089743589743589,0.775,0.65,0.7868020304568528,0.7808564231738037,200,0.36666666666666664,0.9192307692307692,0.5116279069767442,0.4271844660194174,60,0.7166666666666667,0.8576923076923076,0.5375,0.6142857142857143,60,"155,21,24;25,22,13;17,0,43",0.75,0.6333333333333333,0.6428571428571429,0.6333333333333333,0.8376068376068376,"9,0,1;1,1,1;1,0,2",320,4
vmd_original_seed0,0.6735294117647059,0.7083333333333334,0.658830378715105,0.6751789808579095,0.7083333333333334,0.8313186813186814,0.6,0.8071428571428572,0.8163265306122449,0.6916426512968299,200,0.65,0.8714285714285714,0.52,0.5777777777777778,60,0.875,0.8153846153846154,0.5932203389830508,0.707070707070707,80,"120,35,45;18,39,3;9,1,70",0.75,0.7777777777777777,0.7367724867724869,0.7777777777777777,0.8733211233211233,"6,2,1;1,2,0;0,0,4",340,0
vmd_original_seed0,0.7875,0.7912037037037036,0.7682213782082301,0.7917056642833369,0.7912037037037036,0.890018315018315,0.7777777777777778,0.8642857142857143,0.8805031446540881,0.8259587020648967,180,0.7833333333333333,0.8807692307692307,0.6025641025641025,0.6811594202898551,60,0.8125,0.925,0.7831325301204819,0.7975460122699387,80,"140,24,16;11,47,2;8,7,65",0.9375,0.8888888888888888,0.9157894736842106,0.8888888888888888,0.9523809523809524,"9,0,0;1,2,0;0,0,4",320,1
vmd_original_seed0,0.71875,0.7333333333333333,0.6799800331707004,0.7324887686585189,0.7333333333333333,0.8696581196581197,0.7,0.9166666666666666,0.9333333333333333,0.8,200,0.85,0.8,0.49514563106796117,0.6257668711656442,60,0.65,0.8923076923076924,0.582089552238806,0.6141732283464567,60,"140,37,23;4,51,5;6,15,39",0.8125,0.8222222222222223,0.7685185185185185,0.8222222222222223,0.923076923076923,"8,1,1;0,3,0;0,1,2",320,2
vmd_original_seed0,0.565625,0.5587962962962963,0.5402100345458885,0.5725880913728681,0.5587962962962963,0.7683455433455433,0.5722222222222222,0.6928571428571428,0.7054794520547946,0.6319018404907975,180,0.5166666666666667,0.8538461538461538,0.4492753623188406,0.4806201550387597,60,0.5875,0.7583333333333333,0.44761904761904764,0.508108108108108,80,"103,34,43;14,31,15;29,4,47",0.75,0.7314814814814815,0.7411764705882353,0.7314814814814815,0.8690476190476191,"7,0,2;0,2,1;1,0,3",320,3
vmd_original_seed0,0.64375,0.666111111111111,0.6150160850310775,0.6552137892092915,0.666111111111111,0.8164529914529915,0.615,0.7916666666666666,0.831081081081081,0.7068965517241379,200,0.7166666666666667,0.8038461538461539,0.4574468085106383,0.5584415584415584,60,0.6666666666666666,0.8538461538461538,0.5128205128205128,0.5797101449275363,60,"123,48,29;8,43,9;17,3,40",0.8125,0.8222222222222223,0.7886382623224728,0.8222222222222223,0.8931623931623932,"8,1,1;0,3,0;1,0,2",320,4
