arm,outer_fold,candidate,candidate_order,n_layers,epochs,macro_f1,accuracy
vmd,0,compact_once,0,2,20,0.5855103525328982,0.61015625
vmd,0,compact_once,0,2,40,0.5789161505822235,0.61015625
vmd,0,compact_once,0,2,60,0.5709033981689807,0.60234375
vmd,0,compact_once,0,2,80,0.5671020299920072,0.5984375
vmd,0,reupload_2,1,2,20,0.5981541577304103,0.62109375
vmd,0,reupload_2,1,2,40,0.5874874189927953,0.61640625
vmd,0,reupload_2,1,2,60,0.5749173324621066,0.60546875
vmd,0,reupload_2,1,2,80,0.5694697408566022,0.6
vmd,0,reupload_3,2,3,20,0.544452022983791,0.58125
vmd,0,reupload_3,2,3,40,0.5322292302707733,0.571875
vmd,0,reupload_3,2,3,60,0.5406609572019326,0.57890625
vmd,0,reupload_3,2,3,80,0.5411257926064016,0.58046875
vmd,1,compact_once,0,2,20,0.6303164820799109,0.6630769230769231
vmd,1,compact_once,0,2,40,0.6258609144352091,0.6630769230769231
vmd,1,compact_once,0,2,60,0.6311016535478311,0.6661538461538462
vmd,1,compact_once,0,2,80,0.6299836213021178,0.666923076923077
vmd,1,reupload_2,1,2,20,0.5483356132820151,0.5869230769230769
vmd,1,reupload_2,1,2,40,0.5527022230396305,0.5976923076923077
vmd,1,reupload_2,1,2,60,0.5530126400182451,0.5953846153846154
vmd,1,reupload_2,1,2,80,0.5610781907268403,0.6038461538461538
vmd,1,reupload_3,2,3,20,0.5821817658085603,0.6192307692307693
vmd,1,reupload_3,2,3,40,0.5703884254745484,0.6130769230769231
vmd,1,reupload_3,2,3,60,0.5604673627417948,0.6038461538461538
vmd,1,reupload_3,2,3,80,0.5496550623933415,0.5930769230769231
vmd,2,compact_once,0,2,20,0.6561576137316331,0.6823076923076923
vmd,2,compact_once,0,2,40,0.6725166290629856,0.6976923076923077
vmd,2,compact_once,0,2,60,0.6686380542986424,0.6938461538461539
vmd,2,compact_once,0,2,80,0.6712949253513241,0.6961538461538461
vmd,2,reupload_2,1,2,20,0.6393090018653528,0.6715384615384615
vmd,2,reupload_2,1,2,40,0.6191466290739231,0.65
vmd,2,reupload_2,1,2,60,0.6128492702396668,0.6423076923076924
vmd,2,reupload_2,1,2,80,0.6093838205692335,0.64
vmd,2,reupload_3,2,3,20,0.6277848321197861,0.6569230769230769
vmd,2,reupload_3,2,3,40,0.6117369105144187,0.6407692307692308
vmd,2,reupload_3,2,3,60,0.6120959878154519,0.6407692307692308
vmd,2,reupload_3,2,3,80,0.6098774891184009,0.64
vmd,3,compact_once,0,2,20,0.6371195710519255,0.6707692307692308
vmd,3,compact_once,0,2,40,0.6213719716207636,0.6623076923076923
vmd,3,compact_once,0,2,60,0.6171328052052928,0.6607692307692308
vmd,3,compact_once,0,2,80,0.6143199602746529,0.66
vmd,3,reupload_2,1,2,20,0.613622834457786,0.6461538461538462
vmd,3,reupload_2,1,2,40,0.6192177622565935,0.6561538461538462
vmd,3,reupload_2,1,2,60,0.6192020122247713,0.6584615384615384
vmd,3,reupload_2,1,2,80,0.6229822262077211,0.6615384615384615
vmd,3,reupload_3,2,3,20,0.5624460055026796,0.6076923076923076
vmd,3,reupload_3,2,3,40,0.5759566553765448,0.6223076923076923
vmd,3,reupload_3,2,3,60,0.5777751159579475,0.6223076923076923
vmd,3,reupload_3,2,3,80,0.5805338842475998,0.6261538461538462
vmd,4,compact_once,0,2,20,0.6283673893782197,0.6638461538461539
vmd,4,compact_once,0,2,40,0.6299745690086015,0.6684615384615384
