arm,outer_fold,candidate,candidate_order,n_layers,epochs,macro_f1,accuracy
vmd,0,reupload_2,1,2,20,0.5981541577304103,0.62109375
vmd,1,compact_once,0,2,60,0.6311016535478311,0.6661538461538462
vmd,2,compact_once,0,2,40,0.6725166290629856,0.6976923076923077
vmd,3,compact_once,0,2,20,0.6371195710519255,0.6707692307692308
vmd,4,compact_once,0,2,40,0.6299745690086015,0.6684615384615384
wst,0,reupload_3,2,3,80,0.5632971493260182,0.60703125
wst,1,compact_once,0,2,20,0.6051342579970459,0.6361538461538462
wst,2,reupload_2,1,2,20,0.6460679860362532,0.6876923076923077
wst,3,compact_once,0,2,20,0.6598046899595624,0.6815384615384615
wst,4,reupload_2,1,2,40,0.5783668085467916,0.6246153846153846
