model,arm,outer_fold,seed,candidate,epochs,accuracy,macro_f1,first_loss,final_loss,final_gradient_norm,circuit_weight_change_norm
vmd_o0_seed0,vmd,0,0,reupload_2,20,0.771875,0.7512686072379675,1.0103108700779782,0.5492357477310883,0.4508994792386435,3.8015504187237763
vmd_o0_seed1,vmd,0,1,reupload_2,20,0.75859375,0.7397290395089748,0.9759734859843996,0.5752114700086455,0.421359812602106,3.4352014268947837
vmd_o0_seed2,vmd,0,2,reupload_2,20,0.78359375,0.7679574631369107,0.992043118831668,0.5298286630012432,0.451334475042807,4.075622279137608
vmd_o1_seed0,vmd,1,0,compact_once,60,0.7569230769230769,0.7334907968482575,0.9619829632051422,0.5566537471608156,0.5260140072314913,4.087231119077945
vmd_o1_seed1,vmd,1,1,compact_once,60,0.7484615384615385,0.7314775654249619,0.9297239573151552,0.5380152605484821,0.5372864114033845,3.7962836260716952
vmd_o1_seed2,vmd,1,2,compact_once,60,0.7738461538461539,0.7535327691565218,0.9774779833992964,0.5461745551278296,0.5747419521526358,3.7356036098315166
vmd_o2_seed0,vmd,2,0,compact_once,40,0.8007692307692308,0.7870570945282717,0.918976756448582,0.4579172377369722,0.5562103065892093,3.06115509692084
vmd_o2_seed1,vmd,2,1,compact_once,40,0.7938461538461539,0.7809368662898156,0.9354580117561684,0.4598456401912104,0.5840288381618898,3.0105547461867492
vmd_o2_seed2,vmd,2,2,compact_once,40,0.8076923076923077,0.7930148195887007,0.8964231587588767,0.4358590842671457,0.5653420517448416,3.7055064785446374
vmd_o3_seed0,vmd,3,0,compact_once,20,0.7884615384615384,0.7711269260539039,0.9752340749535662,0.4843656881739578,0.5830449123339272,3.01965499582558
vmd_o3_seed1,vmd,3,1,compact_once,20,0.8115384615384615,0.7938784535512343,0.907957471192318,0.470061495642309,0.5308754164737886,3.489400318408731
vmd_o3_seed2,vmd,3,2,compact_once,20,0.8007692307692308,0.7844085668554851,0.9167984826146894,0.4648413139711867,0.4925061865599217,2.6569291410483613
vmd_o4_seed0,vmd,4,0,compact_once,40,0.7823076923076923,0.7636222803905969,0.9505767492933364,0.5081845669343407,0.5468767163380641,3.3649563376453795
vmd_o4_seed1,vmd,4,1,compact_once,40,0.7953846153846154,0.779778101335629,0.9270607771857066,0.4687651722892297,0.6178149552252105,3.9681094953671603
vmd_o4_seed2,vmd,4,2,compact_once,40,0.8038461538461539,0.7867121279602413,0.952209096701144,0.5001939544871112,0.5275030323732035,4.313920918218417
wst_o0_seed0,wst,0,0,reupload_3,80,0.75078125,0.7326399872696344,1.0216621412445923,0.5309573584783983,0.5555296082215133,5.26393634132557
wst_o0_seed1,wst,0,1,reupload_3,80,0.7328125,0.716813141595347,1.0181609910268452,0.5569424280407207,0.6084073316019439,3.812300094399149
wst_o0_seed2,wst,0,2,reupload_3,80,0.74453125,0.7262851148243307,0.9967548834563088,0.5497903674057762,0.5852224145347436,4.610000045593374
wst_o1_seed0,wst,1,0,compact_once,20,0.7415384615384616,0.724134226338815,0.9896906076786144,0.6042310428890906,0.455901298045228,2.8307507898523143
wst_o1_seed1,wst,1,1,compact_once,20,0.7369230769230769,0.7174808229468118,0.9443309175036538,0.5965199627810691,0.5170946036894289,2.8913236230270263
wst_o1_seed2,wst,1,2,compact_once,20,0.7084615384615385,0.6980799038794636,1.0005794895721418,0.5943612629203106,0.4601603691142432,3.2475947494721304
wst_o2_seed0,wst,2,0,reupload_2,20,0.7876923076923077,0.7747303232313648,0.9459166866904632,0.4945728175246762,0.3804302554374073,3.618231761816566
wst_o2_seed1,wst,2,1,reupload_2,20,0.803076923076923,0.7902659383771183,0.933095267152786,0.456480836597652,0.397213835577118,4.822134960738091
wst_o2_seed2,wst,2,2,reupload_2,20,0.7761538461538462,0.7609316918463366,0.938527685769162,0.5158536382989952,0.4068716743001392,3.3862684763704713
wst_o3_seed0,wst,3,0,compact_once,20,0.7715384615384615,0.7597195846361143,0.9573708680571128,0.5069991429824462,0.5074721430731088,3.120942749782419
wst_o3_seed1,wst,3,1,compact_once,20,0.7823076923076923,0.7660357778552074,0.9555997763658408,0.4907521628089369,0.5172082482719738,3.521130727026279
wst_o3_seed2,wst,3,2,compact_once,20,0.786923076923077,0.7717567581213584,0.9308347804231316,0.4978738107645044,0.5150942278199133,3.0496316091321587
wst_o4_seed0,wst,4,0,reupload_2,40,0.7084615384615385,0.6891135222835233,0.9346924519204954,0.5913887486685477,0.3971175393871031,3.6025715456910747
wst_o4_seed1,wst,4,1,reupload_2,40,0.7276923076923076,0.7108149737459093,0.9304874356848408,0.596899653132892,0.398990154626381,3.7049732008803735
wst_o4_seed2,wst,4,2,reupload_2,40,0.7261538461538461,0.708447859136867,0.9131176669508584,0.5947801547896093,0.449261847088233,3.5469196085176833
