phase,arm,outer_fold,inner_fold,candidate,seed,started,status,finished,seconds,train_n,val_n,parameters,steps,checkpoints,artifact,choice,test_n
inner,vmd,0,0.0,compact_once,0,2026-09-22T03:50:49.414106+00:00,complete,2026-09-22T03:52:52.215115+00:00,132.7057236239998,840,440.0,111,2160,"{'20': {'accuracy': 0.615909090909091, 'macro_f1': 0.5832699455119462}, '40': {'accuracy': 0.6431818181818182, 'macro_f1': 0.6040398870553924}, '60': {'accuracy': 0.6522727272727272, 'macro_f1': 0.6113817795593929}, '80': {'accuracy': 0.6431818181818182, 'macro_f1': 0.6027851458885941}}",inner/vmd_o0_i0_compact_once.json,,
inner,vmd,0,0.0,reupload_2,0,2026-09-22T03:50:49.399085+00:00,complete,2026-09-22T03:53:05.794828+00:00,148.77581880300022,840,440.0,111,2160,"{'20': {'accuracy': 0.5613636363636364, 'macro_f1': 0.5337433343355115}, '40': {'accuracy': 0.5636363636363636, 'macro_f1': 0.5281639365080594}, '60': {'accuracy': 0.5545454545454546, 'macro_f1': 0.5144751383143057}, '80': {'accuracy': 0.5454545454545454, 'macro_f1': 0.5044344502718604}}",inner/vmd_o0_i0_reupload_2.json,,
inner,vmd,0,0.0,reupload_3,0,2026-09-22T03:50:49.425703+00:00,complete,2026-09-22T03:53:49.588915+00:00,195.02170412399937,840,440.0,129,2160,"{'20': {'accuracy': 0.6022727272727273, 'macro_f1': 0.5589344172620702}, '40': {'accuracy': 0.6136363636363636, 'macro_f1': 0.5667505868744259}, '60': {'accuracy': 0.6227272727272727, 'macro_f1': 0.580707980965948}, '80': {'accuracy': 0.625, 'macro_f1': 0.5848722139861381}}",inner/vmd_o0_i0_reupload_3.json,,
inner,vmd,0,1.0,compact_once,0,2026-09-22T03:50:49.367623+00:00,complete,2026-09-22T03:52:57.011967+00:00,137.54634446300042,860,420.0,111,2160,"{'20': {'accuracy': 0.6238095238095238, 'macro_f1': 0.5897654644005567}, '40': {'accuracy': 0.6166666666666667, 'macro_f1': 0.5769018254605353}, '60': {'accuracy': 0.6095238095238096, 'macro_f1': 0.5715862274772806}, '80': {'accuracy': 0.6142857142857143, 'macro_f1': 0.5776509942904189}}",inner/vmd_o0_i1_compact_once.json,,
inner,vmd,0,1.0,reupload_2,0,2026-09-22T03:50:49.367689+00:00,complete,2026-09-22T03:53:05.468165+00:00,148.4723046020008,860,420.0,111,2160,"{'20': {'accuracy': 0.6357142857142857, 'macro_f1': 0.6002964696313174}, '40': {'accuracy': 0.6142857142857143, 'macro_f1': 0.5708245147723119}, '60': {'accuracy': 0.6047619047619047, 'macro_f1': 0.5611050046724547}, '80': {'accuracy': 0.6023809523809524, 'macro_f1': 0.5595576176908049}}",inner/vmd_o0_i1_reupload_2.json,,
inner,vmd,0,1.0,reupload_3,0,2026-09-22T03:52:52.320937+00:00,complete,2026-09-22T03:55:50.148711+00:00,192.68310190299962,860,420.0,129,2160,"{'20': {'accuracy': 0.6071428571428571, 'macro_f1': 0.5775111384587336}, '40': {'accuracy': 0.5761904761904761, 'macro_f1': 0.5445827857385902}, '60': {'accuracy': 0.5666666666666667, 'macro_f1': 0.5379394762241624}, '80': {'accuracy': 0.5714285714285714, 'macro_f1': 0.5408574410046235}}",inner/vmd_o0_i1_reupload_3.json,,
inner,vmd,0,2.0,compact_once,0,2026-09-22T03:52:56.013570+00:00,complete,2026-09-22T03:55:01.050825+00:00,134.93861201599975,860,420.0,111,2160,"{'20': {'accuracy': 0.5904761904761905, 'macro_f1': 0.5865205172411322}, '40': {'accuracy': 0.569047619047619, 'macro_f1': 0.5624155002020648}, '60': {'accuracy': 0.5428571428571428, 'macro_f1': 0.5358856148520982}, '80': {'accuracy': 0.5357142857142857, 'macro_f1': 0.52772571272368}}",inner/vmd_o0_i2_compact_once.json,,
inner,vmd,0,2.0,reupload_2,0,2026-09-22T03:53:04.255568+00:00,complete,2026-09-22T03:55:20.691132+00:00,146.3384901720001,860,420.0,111,2160,"{'20': {'accuracy': 0.669047619047619, 'macro_f1': 0.6618065671361604}, '40': {'accuracy': 0.6738095238095239, 'macro_f1': 0.6647701515266419}, '60': {'accuracy': 0.6595238095238095, 'macro_f1': 0.6494449043665775}, '80': {'accuracy': 0.6547619047619048, 'macro_f1': 0.6444693345671505}}",inner/vmd_o0_i2_reupload_2.json,,
inner,vmd,0,2.0,reupload_3,0,2026-09-22T03:53:05.636611+00:00,complete,2026-09-22T03:56:04.599888+00:00,191.34244359500008,860,420.0,129,2160,"{'20': {'accuracy': 0.5333333333333333, 'macro_f1': 0.5017315307318331}, '40': {'accuracy': 0.5238095238095238, 'macro_f1': 0.4878858605631682}, '60': {'accuracy': 0.5452380952380952, 'macro_f1': 0.5083703412637807}, '80': {'accuracy': 0.5428571428571428, 'macro_f1': 0.5032716030612986}}",inner/vmd_o0_i2_reupload_3.json,,
inner,vmd,1,0.0,compact_once,0,2026-09-22T03:53:47.349710+00:00,complete,2026-09-22T03:55:54.177087+00:00,136.72673677199964,880,420.0,111,2240,"{'20': {'accuracy': 0.6428571428571429, 'macro_f1': 0.6017658957957465}, '40': {'accuracy': 0.638095238095238, 'macro_f1': 0.5969936837380748}, '60': {'accuracy': 0.65, 'macro_f1': 0.6078191614198422}, '80': {'accuracy': 0.6476190476190476, 'macro_f1': 0.6043628937093367}}",inner/vmd_o1_i0_compact_once.json,,
